Player,NBABPM,Height,Weight,Wingspan,G,MP,PTS,SOS,PER,TS%,eFG%,PProd,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,NCAABPM,Position_Big,Position_Point,Position_Wing
Cory Joseph,-1.0,6.27,186.0,6.46,36,32.4,10.4,7.96,15.1,0.526,0.503,372,6.0,17.3,1.9,0.9,13.1,17.3,0.152,6.5,0,1,0
Jimmy Butler,4.5,6.65,222.0,6.63,106,29.6,12.0,8.21,24.7,0.607,0.531,1067,11.1,11.2,2.4,1.6,9.5,19.0,0.203,9.4,0,0,1
Kyle Singler,-2.5,6.71,228.0,6.84,148,33.0,16.2,8.97,21.6,0.548,0.504,1272,11.6,11.9,1.6,1.8,12.6,24.7,0.21,6.4,0,0,1
Shelvin Mack,-1.9,6.21,209.0,6.63,108,31.2,14.1,4.05,21.0,0.544,0.507,1103,8.3,25.4,2.1,0.3,14.5,26.3,0.164,6.6,0,1,0
Chandler Parsons,1.1,6.81,221.0,6.79,142,27.9,10.2,5.9,20.5,0.56,0.546,861,13.0,19.1,2.0,0.9,15.3,19.6,0.157,8.3,0,0,1
Jon Leuer,-0.7,6.96,223.0,7.0,123,22.8,11.2,8.06,29.2,0.559,0.529,891,12.8,12.4,1.1,3.3,10.3,28.4,0.207,9.8,1,0,0
Lavoy Allen,-2.1,6.75,260.0,7.03,135,32.2,10.5,4.24,21.8,0.562,0.542,821,16.5,14.3,1.1,5.0,13.0,19.3,0.176,5.6,1,0,0
DeAndre Liggins,-2.2,6.52,202.0,6.92,100,21.9,5.8,6.85,14.0,0.505,0.472,448,7.6,17.0,2.4,2.1,20.5,16.4,0.114,5.9,0,0,1
E'Twaun Moore,-1.9,6.33,191.0,6.79,140,32.3,15.3,7.64,22.6,0.536,0.508,1104,8.0,20.2,2.5,1.2,12.7,27.5,0.171,10.2,0,0,1
Isaiah Thomas,2.2,5.85,186.0,6.15,105,30.4,16.4,7.81,21.5,0.538,0.489,1184,6.5,26.2,2.1,0.2,14.8,26.6,0.165,8.1,0,1,0
